"";"GSM3143969_Infection_tot_rep1.CEL";"GSM3143970_Infection_tot_rep2.CEL";"GSM3143971_Infection_tot_rep3.CEL";"GSM3143972_Ctl_tot_rep1.CEL";"GSM3143973_Ctl_tot_rep2.CEL";"GSM3143974_Ctl_tot_rep3.CEL";"GSM3143975_Infection_poly_rep1.CEL";"GSM3143976_Infection_poly_rep2.CEL";"t";"P.Value";"adj.P.Val";"B"
"16650657";6,89229342734046;6,13524259711164;7,33836381850178;5,34860218251136;4,61585680650824;5,11103360448027;6,33720604916891;6,48988864878332;4,4338942930397;0,000819595192096749;0,0356798586641157;-0,360005116024084
"16650721";5,86597773165102;5,54960576335241;6,05774768441842;4,44927188562303;4,82895743945221;5,58846932536528;6,47076138679945;6,62789779685411;-3,82335070525665;0,00243353402998831;0,0598397363676647;-1,3446385074124
"16650723";5,80189417327745;4,96130439451817;5,08372015247754;2,60625882871637;4,22156258413808;2,225759678284;3,63926915550161;3,34830867360726;4,98298419868755;0,00032026070185231;0,00653390326884073;0,434945068632381
"16650749";6,67548248898647;7,15809920274589;6,86806810244943;4,76117829828596;4,78629962261373;4,77646026817239;6,26924763336881;6,08678505373008;7,92736581126269;4,18244860481154e-06;0,000999711091231848;4,69875951928891
"16650757";4,31653827998512;4,58180497039133;3,32692707191909;1,74244570614086;2,97517119440436;2,46465204027435;2,51293512667077;2,41677253671579;4,25876801549406;0,0011150470709497;0,0408506865865561;-0,656542540613073
"16650791";9,39595554611545;8,27121442321911;8,28592660093587;8,24886096643243;7,5348612350852;7,31994384720153;7,28645079247952;6,12303273306322;5,07497917766023;0,000274700378290866;0,0408821476524485;0,705064056616258
"16650837";6,2814503844692;6,69216482125164;6,51802206236828;5,11778344675345;5,04175987631437;5,65392202676994;6,10252616219301;6,39282728288504;6,66498677778171;2,33374264482641e-05;0,00181267244987085;3,02697426753908
"16650879";8,32795797436128;8,52922124104111;6,17721442238576;6,44597615122638;7,13504114715732;5,35567244782187;6,2170294992515;6,04248541127277;5,12998719041282;0,000250756926877002;0,00574119649573662;0,678256624377665
"16650939";6,1074256886025;5,88755341955262;6,88301090384083;5,21322424293755;3,3745639363645;4,46349234665562;2,87315701172531;4,26808011471146;5,62154790974968;0,00011310937507853;0,00392820448296486;1,46898275204133
"16651029";6,36315189387176;7,60030603284358;5,31477316383218;5,36876698690578;5,91768122765272;5,81048854797151;4,91939465224772;3,01581563784173;4,08539705375614;0,00151772335466978;0,058450587269748;-0,891111112336349
"16651035";5,0294151645033;4,49351623094319;3,68935523301819;3,8107282456973;3,36697428279229;3,27055764521412;2,22130747783448;2,35637657798194;5,47970388348143;0,000141825388286926;0,0374549443840241;1,31485376976861
"16651067";8,44511627509093;7,73908035691849;7,72595467260272;6,69086430973067;5,91706403725268;5,74999510370614;6,08875370596777;6,7431707699052;7,63384244727439;6,13055434715162e-06;0,0011909268183945;4,32985815633204
"16651071";5,10459563564111;3,79776381463115;3,96429987671787;4,1957289660651;2,55367579618126;3,04033112789443;2,99952600512006;2,53443558057087;3,87960499580982;0,00219770479496381;0,0622028995711994;-1,2388172029269
"16651075";6,2035344778135;6,87732535078197;5,45475260690229;6,23579729665256;5,49362243825275;5,04422747943864;5,52492689144774;4,62704963665589;5,58900955655754;0,00011910477276837;0,00404172246629677;1,41775304826336
"16651159";5,24335090754264;5,76456549120366;5,29696796607244;5,3910139464731;4,92954458836966;6,51131239711109;7,34767371182989;7,61684595211671;-4,39754170492648;0,000873408731943518;0,0496961729384952;-0,372936272274367
"16651161";10,7336486697052;11,0306304186528;9,5611440465237;8,73484902310974;8,92118664150533;7,84940284287283;8,81080214077916;8,31772630464837;9,68005218319632;5,17051740034842e-07;0,000433160095214189;6,67672623295009
"16651179";9,95839366825787;10,0548726665378;9,07153540981648;8,66600342674465;9,18529651516304;8,84942226184718;8,29609869378163;8,57642943765381;6,22957326420777;4,42778292145001e-05;0,0023619786401252;2,39682073476457
"16651209";6,05968038167293;7,36552059926621;8,06638315068527;2,75625880032358;3,01939374411661;4,0841706790691;6,96080124582714;4,35157425786713;3,9135547462077;0,00206688856309578;0,0549189478430911;-1,25112066213676
"16651233";4,52791760862256;4,87996793159121;6,60886111369871;2,7835587744548;2,68009084689816;4,80299199617948;7,01413035013093;7,07276550340278;-5,04162465588188;0,000290377994801189;0,00895087917233759;0,574287761936651
"16651235";4,99661819275449;5,83773139552039;5,76120942525211;3,66074057350246;3,11122418261792;4,94207429363176;6,80774831700886;6,68738286071851;-5,46087822190733;0,000146179687098787;0,00652110148652643;1,24933664283003
"16651247";5,10074834591372;4,77203113560162;6,25803044958865;5,35679737138836;4,74343341844677;6,75585390005164;7,55825542150231;7,86900310375842;-3,92285121061641;0,00203248536773295;0,0617571185799491;-1,16539465777064
"16651259";4,60410592959621;4,55554347852418;4,66022331091603;5,72497175317705;5,47243195646069;5,25307681750191;5,03865073426314;5,5614112760438;-3,62767930563978;0,00347668154796655;0,0711707300604461;-1,75144610848758
"16651281";5,11762267382703;3,40069216071447;4,51777496081925;2,98070790620494;5,04737490606708;5,70997518156964;6,91070295462784;6,9259987344045;-4,11149631743992;0,00144857599822706;0,0582716435598188;-0,847335828284981
"16651283";7,06092888458751;6,24601238145013;7,49916015219305;3,74596782728195;3,82710238233541;5,13636537156257;7,82024957984573;7,69610602110529;5,55551291720045;0,000125628437448299;0,0163910937934606;1,43719173215082
"16651299";7,17794642436366;7,36566040237284;7,33330588667163;6,12032504064604;5,62136268211504;7,63526478047294;8,3891998408784;8,82115181508156;-5,19027059108695;0,00022701707339871;0,00822012959909188;0,816609957121233
"16651307";5,45872162831343;5,59036824331234;5,61329682897038;3,47662528311503;3,64257564445961;4,01476693462144;5,40017298848037;5,12433606624972;3,68096238026331;0,00315383974545863;0,068738321866874;-1,65777344955093
"16651365";3,81386145920547;3,88574847430053;2,65238888899288;1,81599328206205;2,65992672836172;2,00698755260258;2,05420340841851;2,49494926087231;3,68115109425739;0,00315275258918182;0,068738321866874;-1,65744198047033
"16651393";3,86889238749438;4,00781555442373;3,69307871479168;3,30438772839525;3,18964583152896;3,12309994639986;3,30857967878941;2,37689175823471;3,83391397194921;0,002387344279507;0,0627450249461015;-1,31657825569017
"16651435";9,19420684591272;8,97326970557916;8,91477969668465;8,84387947606805;8,91596996383085;8,22190882842575;7,92650718030589;7,85769534804812;3,78737036742785;0,00259787467031568;0,0645086977007422;-1,39597838524538
"16651447";5,1139372859143;5,40086751872313;4,26528659299084;5,33645192706098;4,92631632641136;4,30375578062947;3,79980093326833;3,87669891420404;4,70940748973892;0,000508934600069517;0,0422875142851942;0,129019812532643
"16651483";4,32571582296265;3,69400844005263;4,89477728111164;2,8508092173346;2,35973212962729;3,15068504654703;3,06662924313109;4,06126067110465;4,02553187580218;0,00168952834834908;0,0505500847796229;-1,05693763740827
"16651501";4,53858437411126;4,72264967700983;6,19062480392483;2,7096947153736;2,11902744293149;4,16615579038799;5,59320828944211;5,64677377236862;3,86519670773242;0,00225577222737016;0,0574835949347332;-1,33532497206906
"16651519";8,60045588250443;8,3165044663789;7,82053283143765;4,76837000811741;4,56086310588795;5,74789711178293;7,55269126325681;7,58407038893291;8,52771176338912;1,97211519123914e-06;0,000737608507278449;5,41816136769855
"16651529";3,96362258833074;4,58150141036816;4,60138823003166;2,7215912429906;3,77417754057932;3,74589539492295;5,01268819203294;5,34523294054397;-5,22497113558035;0,000214434562010119;0,00791812911620837;0,872711219919345
