"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"6709_at";0,911997783;1,15376373075;13,1287541235082;4,07547840114797e-08;0,000532392312835745;8,86111878526899
"113829_at";0,728872330666667;0,301641991666667;13,0603694831476;4,3051171538895e-08;0,000532392312835745;8,81586584025783
"8342_at";1,12390468033333;0,238814217666667;11,5292858037424;1,57736540565782e-07;0,00112096646694063;7,71493166210114
"60509_at";0,714482283333334;0,57962079225;11,3702115103338;1,82050612794888e-07;0,00112096646694063;7,59017053955719
"1173_at";1,18969242466667;1,3959312275;10,8843412271379;2,8514214235652e-07;0,00112096646694063;7,19584470300477
"64324_at";0,727011317666667;0,990055501416667;10,7610180671347;3,20399056872543e-07;0,00112096646694063;7,09247103740625
