SampleName  Type      RNA   replicate
GSM3143969	Infection total rep1
GSM3143970	Infection total rep2
GSM3143971	Infection total rep3
GSM3143972	Control total rep1
GSM3143973	Control total rep2
GSM3143974	Control total rep3
GSM3143975	Infection polyA rep1
GSM3143976	Infection polyA rep2
GSM3143977	Infection polyA rep3
GSM3143978	Control polyA rep1
GSM3143979	Control polyA rep2
GSM3143980	Control polyA rep3
